id	type customer 	sentiment_score	rating	sentiment
168	loyal	7	2	The customer service team for this product is fantastic! They were so helpful in resolving my issue. #greatcustomerservice #happycustomer #resolvedmyissue
169	loyal	10	1	I really appreciate the eco-friendly materials used in this product. It's important to support sustainable products #ecofriendly #sustainableliving #supportgreenproducts
170	disloyal	5	3	I've been using this product for a few weeks now and it's been a game changer for me. So convenient and easy to use! #gamechanger #productreview #convenientproduct
171	disloyal	1	3	I wish there were more color options available for this product. The design is great but I want more choices! #morecolorsplease #productfeedback #designoptions
172	disloyal	7	3	"I was hesitant to purchase this product due to the price, but it was worth every penny. The quality is top-notch! #worthit #highqualityproduct #productreview"
173	disloyal	5	3	The packaging for this product was excessive and wasteful. It's important for companies to be more mindful of their environmental impact. #excessivepackaging #environmentallyconscious #sustainability
174	disloyal	7	2	The product arrived damaged but the customer service team quickly resolved the issue and sent a replacement. Great service! #greatcustomerservice #resolvedmyissue #damagedproduct
175	disloyal	9	2	I'm loving this product so far! It's easy to clean and has held up well over time. #easycleaning #productdurability #happycustomer
176	disloyal	4	2	I'm blown away by the level of customer service for this product. They went above and beyond to make sure I was satisfied. #amazingcustomerservice #happyclient #beyondexpectations
177	disloyal	1	1	"I was initially hesitant to try this product, but after reading all the positive reviews, I decided to give it a chance. I'm so glad I did! It's exceeded my expectations. #positiveproductreviews #tryitout #happycustomer"
178	disloyal	4	2	I've had a great experience with this product so far. It's made my life so much easier and I would highly recommend it to anyone. #lifechangingproduct #highlyrecommend #happycustomer
179	disloyal	9	1	"I was skeptical about the claims this product was making, but it has truly delivered. It's a great investment and I'm thrilled with the results. #skepticalatfirst #greatinvestment #thrilledwithresults"
180	disloyal	7	2	The quality of this product is outstanding. It's clear that a lot of thought and care went into its design and production. #highqualityproduct #thoughtfuldesign #carefulproduction
181	disloyal	4	3	I had a few questions about the product before purchasing and the customer service team was so helpful in answering them. It made the decision to buy so much easier. #helpfulcustomerservice #makingdecisions #happyshopper
182	disloyal	4	2	I love that this product is made from sustainable materials. It's important to support companies that are taking steps towards a more eco-friendly future. #supportingecofriendlybrands #sustainablematerials #futureminded
183	disloyal	3	2	Just received my new product and I am in love! The design is amazing and it works perfectly #happycustomer #newproduct #designgoals
184	disloyal	8	1	I had high hopes for this product but it didn't live up to my expectations. I'm really disappointed #disappointed #productreview #honestopinion
185	disloyal	8	1	The customer service team for this product is fantastic! They were so helpful in resolving my issue. #greatcustomerservice #happycustomer #resolvedmyissue
186	disloyal	4	1	I really appreciate the eco-friendly materials used in this product. It's important to support sustainable products #ecofriendly #sustainableliving #supportgreenproducts
187	loyal	9	1	I've been using this product for a few weeks now and it's been a game changer for me. So convenient and easy to use! #gamechanger #productreview #convenientproduct
188	loyal	10	1	I wish there were more color options available for this product. The design is great but I want more choices! #morecolorsplease #productfeedback #designoptions
189	loyal	7	3	"I was hesitant to purchase this product due to the price, but it was worth every penny. The quality is top-notch! #worthit #highqualityproduct #productreview"
190	loyal	3	2	The packaging for this product was excessive and wasteful. It's important for companies to be more mindful of their environmental impact. #excessivepackaging #environmentallyconscious #sustainability
191	loyal	4	3	The product arrived damaged but the customer service team quickly resolved the issue and sent a replacement. Great service! #greatcustomerservice #resolvedmyissue #damagedproduct
192	loyal	10	3	I'm loving this product so far! It's easy to clean and has held up well over time. #easycleaning #productdurability #happycustomer
193	loyal	9	3	I'm blown away by the level of customer service for this product. They went above and beyond to make sure I was satisfied. #amazingcustomerservice #happyclient #beyondexpectations
194	loyal	7	1	"I was initially hesitant to try this product, but after reading all the positive reviews, I decided to give it a chance. I'm so glad I did! It's exceeded my expectations. #positiveproductreviews #tryitout #happycustomer"
195	loyal	2	3	I've had a great experience with this product so far. It's made my life so much easier and I would highly recommend it to anyone. #lifechangingproduct #highlyrecommend #happycustomer
196	loyal	3	3	"I was skeptical about the claims this product was making, but it has truly delivered. It's a great investment and I'm thrilled with the results. #skepticalatfirst #greatinvestment #thrilledwithresults"
197	loyal	3	2	The quality of this product is outstanding. It's clear that a lot of thought and care went into its design and production. #highqualityproduct #thoughtfuldesign #carefulproduction
198	disloyal	10	3	I had a few questions about the product before purchasing and the customer service team was so helpful in answering them. It made the decision to buy so much easier. #helpfulcustomerservice #makingdecisions #happyshopper
199	disloyal	1	2	I love that this product is made from sustainable materials. It's important to support companies that are taking steps towards a more eco-friendly future. #supportingecofriendlybrands #sustainablematerials #futureminded
200	disloyal	4	1	I've been recommending this product to all my friends and family. It's just that good! #spreadthelove #recommendations #greatproduct
201	disloyal	7	3	"The price for this product is definitely on the higher side, but the benefits are worth it. It's an investment in my well-being. #worththeinvestment #higherpricetag #benefitsareworthit"
202	disloyal	10	1	I had an issue with the product and the customer service team was so quick to resolve it. They made the process so easy and stress-free. #quickresolutions #easystressfree #happycustomer
203	disloyal	10	1	I'm so impressed with how durable this product is. It's been through a lot and still looks brand new. #durability #longlastingproduct #impressedcustomer
204	disloyal	3	1	This product has saved me so much time and hassle. I don't know what I would do without it. #timesavingproduct #hasslefree #lifesaver
205	disloyal	7	2	The packaging for this product was so thoughtful and well-designed. It's clear the company cares about their customers. #thoughtfulpackaging #customeroriented #carefulattentiontodetail
206	disloyal	5	2	"I've tried a lot of similar products, but this one is by far the best. It's really worth the investment. #bestproduct #investinquality #topnotch"
207	loyal	6	2	I appreciate that this product is made with non-toxic ingredients. It's important to me to use safe and healthy products. #nontoxic #safeingredients #healthylifestyle
208	loyal	4	2	"I had a few issues with the product, but the customer service team was so helpful in resolving them. They really went above and beyond. #helpfulcustomerservice #problemresolved #beyondexpectations"
209	loyal	3	3	I love that this product is multi-functional. It saves me money and space by replacing several other products. #multifunctionalproduct #savemoney #spaceefficient
210	loyal	9	1	I'm so grateful for this product. It's helped me with a problem I've been struggling with for a long time. #gratefulcustomer #problemresolved #lifesaver
211	loyal	8	2	The instructions for this product were really clear and easy to follow. It made using the product a breeze. #clearinstructions #easytouse #userfriendly
212	loyal	9	2	"I'm amazed at how much this product has improved my daily life. It's a small thing, but it's made a big difference. #lifeimprovement #bigdifference #dailyessentials"
213	loyal	10	1	This product exceeded my expectations in every way. I can't recommend it enough. #exceededexpectations #highlyrecommend #impressedcustomer
214	loyal	5	3	I love that this product is made by a company that values sustainability and social responsibility. It's important to me to support ethical businesses. #supportingsustainability #sociallyresponsible #ethicalbusiness
